termi;käsite;käännettävyys;kieli;sanaluokka;sanamuoto;perussanatyyppi;johdostyyppi;status;etymologia
lehtilapa;lapa;;suomi;substantiivi;yhdyssana;;;;
blaðka;lapa;=;islanti;;;;;;
bløðka;lapa;=;fääri;;;;;;
(blad)plade;lapa;=;tanska;;;;;;
plate;lapa;=;norja;;;;;;
bladplate;lapa;=;norja;;;;;;
lamina (pl. laminae; laminas);lapa;=;englanti;;;;;;
leaf blade;lapa;=;englanti;;;;;;
blade;lapa;=;englanti;;;;;;
bladskiva;lapa;=;ruotsi;;;;;;
skiva;lapa;=;ruotsi;;;;;;
ruoti;ruoti;;suomi;substantiivi;yhdistämätön;2-tavuinen i-loppuinen;;;
lehtiruoti;ruoti;;suomi;substantiivi;yhdyssana;;;;
blaðstilkur;ruoti;=;islanti;;;;;;
blaðstelkur;ruoti;=;fääri;;;;;;
bladstilk;ruoti;=;tanska;;;;;;
